"Carimbo de data/hora","Qual sua idade?","Qual seu gênero?","Em qual estado você mora? Ou morou maior parte da sua vida ","Qual sua escolaridade?","Você já experimentou alguma comida peruana?","Você sabia que o milho faz parte da base da alimentação dessa região?","Quais dessas opções você acha que são comidas clássicas da culinária peruanas ?","Na sua opinião existe espaço no Brasil para comida de outros países?","Quais os dois tipos de milho que são muito usados no Peru? ","Você acha que existe alguma comida brasileira com influência da culinária peruana? Se sim, qual ? ","Na sua opinião as diferentes altitudes e biomas influenciam no desenvolvimento de diversidade de milho, criando assim várias espécies?","",""
"2024/05/08 9:10:54 PM GMT-3","18 a 30","Feminino","Mato Grosso ","Superior incompleto","Sim","Sim","Ceviche;Lomo saltado","Sim","","","","Sim","Sim"
"2024/05/08 9:16:02 PM GMT-3","18 a 30","Masculino","DF","Superior completo","Sim","Sim","Ceviche","Sim","","","","Sim","Sim"
"2024/05/08 9:37:03 PM GMT-3","41 a 50","Feminino","Maranhão","Superior incompleto","Sim","Não","Ceviche","Talvez","","","","Talvez","Sim"
"2024/05/08 9:41:37 PM GMT-3","18 a 30","Feminino","Distrito Federal","Superior incompleto","Sim","Sim","Ceviche;Lomo saltado;Choripán","Talvez","","","","Sim","Sim"
"2024/05/08 10:05:32 PM GMT-3","18 a 30","Feminino","Distrito Federal","Superior completo","Sim","Sim","Ceviche;Lomo saltado;Choripán","Talvez","","","","Sim","Sim"
"2024/05/15 1:04:05 PM GMT-3","18 a 30","Masculino","Distrito Federal (DF)","Superior completo","Sim","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/15 1:30:39 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior incompleto","Não sei dizer","Não","Chicha morada","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/15 1:45:48 PM GMT-3","18 a 30","Masculino","Distrito Federal (DF)","Superior completo","Sim","Sim","Chicha morada;Ceviche;Tamal","Sim","Milho roxo e milho torrado","Ceviche de caju","Sim","",""
"2024/05/16 12:52:52 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior completo","Não","Sim","Tamal","Sim","Milho roxo e milho torrado","Não sei","Sim","",""
"2024/05/16 12:58:37 PM GMT-3","18 a 30","Feminino","Maranhão (MA)","Ensino médio completo","Não","Não","Chicha morada","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 12:59:53 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Ensino médio incompleto","Sim","Sim","Chicha morada","Sim","Milho amarelo e milho branco","Não","Sim","",""
"2024/05/16 1:01:12 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior incompleto","Não sei dizer","Sim","Tamal","Sim","Milho roxo e milho torrado","Não","Talvez","",""
"2024/05/16 1:03:35 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Ensino médio completo","Não","Não","Tamal","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 1:04:58 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Ensino médio completo","Não","Não","Chicha morada","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 1:07:26 PM GMT-3","18 a 30","Feminino","Distrito Federal (DF)","Superior completo","Sim","Sim","Chicha morada;Tamal","Sim","Milho roxo e milho amarelo","Pamonha","Sim","",""
"2024/05/16 1:10:03 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Superior incompleto","Não","Não","Chicha morada","Talvez","Milho amarelo e milho branco","Não","Talvez","",""
"2024/05/16 1:10:30 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Ensino médio completo","Não","Não","Choripán","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 1:12:10 PM GMT-3","61 ou mais","Masculino","Espírito Santo (ES)","Superior completo","Não","Sim","Chicha morada;Tamal","Sim","Milho amarelo e milho branco","Não","Talvez","",""
"2024/05/16 1:12:15 PM GMT-3","18 a 30","Masculino","Goiás (GO)","Ensino médio incompleto","Não","Sim","Ceviche","Sim","Milho roxo e milho amarelo","Acho que sim não sei qual.","Sim","",""
"2024/05/16 1:13:32 PM GMT-3","61 ou mais","Masculino","Mato Grosso (MT)","Ensino médio incompleto","Não","Sim","Chicha morada;Ceviche;Poke","Sim","Milho cozido e milho branco","Não","Sim","",""
